,NPA_CL,EVT_STAT_CD,EVT_CL_CD,HPPN_X,HPPN_Y
51492,13,10,401,127.31722222,36.29111111
53687,19,10,401,127.25850105,36.19366407
54096,19,10,401,127.22504,36.21707
54766,19,10,401,127.32735255,36.29145326
54793,13,10,401,127.32735255,36.29145326
54940,13,10,401,127.32422943,36.29906029
57912,18,10,401,127.31932,36.293263
58043,19,10,401,127.31932,36.293263
58160,13,10,401,127.32355507,36.2989925
58351,13,10,401,127.32359591,36.29884589
58404,13,10,401,127.31932,36.293263
58454,19,10,401,127.21833949,36.16195448
58506,13,10,401,127.32320338,36.2918078
58508,19,10,401,127.32320338,36.2918078
60699,19,10,401,127.2955556,36.2744444
61203,13,10,401,127.2955556,36.2744444
61633,19,10,401,127.14842319,36.27364755
65388,13,10,401,127.328496,36.297273
66159,19,10,401,127.24307299,36.17418051
66732,13,10,401,127.32639545,36.29682395
67668,13,10,401,127.27152586,36.27343297
69803,13,10,401,127.32664,36.29907
72726,19,10,401,127.225425,36.216087
277,19,10,401,127.225306,36.211667
431,13,10,401,127.32872917,36.28650804
2337,13,10,401,127.32088,36.29913
2821,19,10,401,127.19983746,36.17392417
6110,13,10,401,127.32864,36.29991
7229,19,10,401,127.23759,36.27956
8255,19,10,401,127.21527861,36.15877677
8539,19,10,401,127.242781,36.289948
8953,13,10,401,127.282609,36.255652
9176,13,10,401,127.32368232,36.2892269
9619,19,10,401,127.157221,36.241375
10023,13,10,401,127.32613,36.29675
10026,13,10,401,127.3191667,36.2883333
11689,19,10,401,127.253416,36.275675
12525,13,10,401,127.32178112,36.29978574
18742,19,10,401,127.23757,36.28041
19687,13,10,401,127.325943,36.296167
20340,19,10,401,127.241082,36.283057
22430,19,10,401,127.2761111,36.2413889
24707,19,10,401,127.280052,36.252171
24765,13,10,401,127.280052,36.252171
24974,13,10,401,127.306243,36.285862
25228,19,10,401,127.228353,36.286726
25864,19,10,401,127.232063,36.284323
26348,13,10,401,127.32384103,36.29870038
28935,13,10,401,127.32645839,36.29735238
31494,13,10,401,127.308474,36.28519
32554,13,10,401,127.318812,36.298956
33337,19,10,401,127.18103123,36.21175512
33499,19,10,401,127.176066,36.212063
33540,19,10,401,127.18793685,36.20896781
33608,19,10,401,127.157563,36.21137
35202,13,10,401,127.310836,36.285106
35823,13,10,401,127.28351249,36.26021743
35975,19,10,401,127.28351249,36.26021743
36727,19,10,401,127.273469,36.218009
36767,19,10,401,127.27772713,36.24265194
37268,13,10,401,127.316202,36.298562
39463,19,10,401,127.15948,36.15757
39598,13,10,401,127.32165537,36.29919024
39895,13,10,401,127.325409,36.294901
40326,19,10,401,127.204457,36.156098
41954,13,10,401,127.273052,36.270836
42216,19,10,401,127.1883333,36.19
42537,13,10,401,127.3232692,36.2995293
42824,19,10,401,127.155247,36.176412
43523,13,10,401,127.3276082,36.29311801
43541,13,10,401,127.32734885,36.29328703
45431,13,10,401,127.2661111,36.2722222
45519,19,10,401,127.2661111,36.2722222
45520,19,10,401,127.2498906,36.28170075
45925,19,10,401,127.23309896,36.28511893
48300,13,10,401,127.32141877,36.29530917
50305,19,10,401,127.23282891,36.28333328
51143,19,10,401,127.27239,36.268223
54439,13,10,401,127.32453,36.29626
55846,13,10,401,127.32344674,36.2984506
56416,19,10,401,127.2410339,36.17105912
58012,19,10,401,127.250832,36.28139
59278,19,10,401,127.258533,36.274663
59862,19,10,401,127.159119,36.136934
60206,19,10,401,127.20394436,36.18183359
61644,13,10,401,127.320048,36.289612
61652,19,10,401,127.320048,36.289612
62112,19,10,401,127.222611,36.20841199
63817,19,10,401,127.23926882,36.28881904
64076,19,10,401,127.242193,36.286278
69281,13,10,401,127.27711739,36.24134572
69438,21,10,401,127.27711739,36.24134572
70976,19,10,401,127.244221,36.282362
73159,19,10,401,127.23022,36.263777
74736,19,10,401,127.234638,36.201409
76270,19,10,401,127.2494444,36.2822222
77236,19,10,401,127.23202,36.28555
81975,19,10,401,127.19568603,36.20856216
82701,19,10,401,127.23846,36.28192
82930,19,10,401,127.29502614,36.27301411
83100,13,10,401,127.29502614,36.27301411
84204,19,10,401,127.255137,36.271836
84525,19,10,401,127.278993,36.245806
84529,19,10,401,127.27750372,36.24204471
84534,19,10,401,127.27711739,36.24134572
84928,13,10,401,127.3201278,36.29076604
86324,19,10,401,127.26713338,36.20641815
87843,13,10,401,127.29629731,36.27889929
88775,19,10,401,127.257,36.27039
90776,19,10,401,127.276697,36.221302
91157,19,10,401,127.23185062,36.26598716
91275,19,10,401,127.19703637,36.21452
92120,19,10,401,127.21877929,36.21047049
93415,19,10,401,127.2511111,36.1880556
93510,19,10,401,127.20375713,36.17486834
94866,13,10,401,127.324218,36.293909
97634,13,10,401,127.32020035,36.2999739
98473,19,10,401,127.23830522,36.28463515
98885,19,10,401,127.19195008,36.20610952
100609,13,10,401,127.31957,36.29445
101801,13,10,401,127.324019,36.289112
101806,13,10,401,127.32043698,36.29335664
101807,13,10,401,127.320935,36.292979
102399,19,10,401,127.2938889,36.2691667
102404,19,10,401,127.1419444,36.2127778
103695,19,10,401,127.24016336,36.28164604
103842,19,10,401,127.2166667,36.2013889
104032,19,10,401,127.2291013,36.26293692
104802,19,10,401,127.228039,36.245218
107090,19,10,401,127.195809,36.208315
107752,19,10,401,127.161442,36.203573
108477,13,10,401,127.31955,36.29917499
109089,19,10,401,127.24645,36.27225
109288,19,10,401,127.2364,36.27999
110497,19,10,401,127.26631854,36.27178522
110712,19,10,401,127.266392,36.271822
110973,19,10,401,127.313353,36.1587
111029,19,10,401,127.23878974,36.2821266
111234,19,10,401,127.247086,36.285256
112029,19,10,401,127.2686111,36.2083333
114036,19,10,401,127.24824,36.284134
115384,19,10,401,127.237694,36.283945
115518,19,10,401,127.255549,36.264794
115737,19,10,401,127.2561111,36.2666667
115739,19,10,401,127.25733446,36.26777169
117527,13,10,401,127.329649,36.29469631
117595,13,10,401,127.32085,36.29961
118391,13,10,401,127.316265,36.229657
118697,19,10,401,127.265247,36.273002
118914,19,10,401,127.20360003,36.17492671
119400,19,10,401,127.26441976,36.26021036
120667,19,10,401,127.26645115,36.20481606
123416,19,10,401,127.282856,36.215132
129238,13,10,401,127.19120388,36.16415924
129645,19,10,401,127.19120388,36.16415924
131304,13,10,401,127.28845,36.267101
131459,13,10,401,127.31089891,36.28504486
131550,13,10,401,127.3113442,36.28536238
131953,19,10,401,127.28845,36.267101
132099,19,10,401,127.18781,36.165302
132807,13,10,401,127.32831322,36.29662581
133329,13,10,401,127.32064468,36.29355828
134169,19,10,401,127.253909,36.189555
135095,19,10,401,127.23453036,36.27084764
135122,13,10,401,127.318076,36.2925
135276,19,10,401,127.27433507,36.21027568
137029,31,10,401,127.242805,36.282057
137358,19,10,401,127.23346142,36.26839339
137446,19,10,401,127.242805,36.282057
138922,13,10,401,127.32025726,36.29239486
139140,13,10,401,127.315292,36.299822
139252,19,10,401,127.2797222,36.2508333
139362,13,10,401,127.32156178,36.2963513
140300,13,10,401,127.29713192,36.27920438
140343,13,10,401,127.29725871,36.27926206
141054,19,10,401,127.242249,36.29025
142332,13,10,401,127.2955556,36.2219444
142890,19,10,401,127.2955556,36.2219444
148004,19,10,401,127.16834,36.190594
149712,13,10,401,127.3277458,36.29707762
153399,13,10,401,127.306549,36.289167
155347,19,10,401,127.21855867,36.21004732
159425,19,10,401,127.156298,36.147938
160544,13,10,401,127.32012316,36.29766626
164671,19,10,401,127.2659,36.27071
167658,13,10,401,127.321325,36.2975
169475,13,10,401,127.319952,36.29919099
169558,19,10,401,127.304217,36.143184
172205,13,10,401,127.32377413,36.2987334
173828,13,10,401,127.3206,36.293957
175277,19,10,401,127.140688,36.127829
185512,19,10,401,127.18939496,36.20855042
185940,19,10,401,127.232711,36.287422
190846,19,10,401,127.24243539,36.28650857
196854,19,10,401,127.14895788,36.24567128
196887,19,10,401,127.29709202,36.27477596
197127,19,10,401,127.24259331,36.28766672
197467,19,10,401,127.25674152,36.15205765
198045,19,10,401,127.24475,36.290474
199040,13,10,401,127.32355498,36.29891226
199207,19,10,401,127.178648,36.245997
199421,19,10,401,127.23964,36.28507
199657,19,10,401,127.20639877,36.1600646
199801,13,10,401,127.29709202,36.27477596
200940,19,10,401,127.151406,36.219367
201958,13,10,401,127.328183,36.246014
202147,13,10,401,127.328217,36.246042
206550,19,10,401,127.26535756,36.26858573
207568,19,10,401,127.217252,36.215259
210875,13,10,401,127.315992,36.297778
213865,13,10,401,127.31604048,36.29869403
213995,13,10,401,127.31600538,36.29878397
223284,13,10,401,127.321802,36.29494
225363,19,10,401,127.23135,36.147241
225566,19,10,401,127.14573978,36.21247595
226371,13,10,401,127.32058065,36.29463314
229523,19,10,401,127.25427786,36.26312308
233260,19,10,401,127.253094,36.27574
235364,19,10,401,127.241916,36.282557
236280,19,10,401,127.227918,36.227293
238538,19,10,401,127.23994671,36.28669187
239340,13,10,401,127.32,36.29478
239765,13,10,401,127.319909,36.298639
240706,13,10,401,127.3211111,36.2961111
240755,13,10,401,127.248282,36.284273
241129,19,10,401,127.248282,36.284273
241312,19,10,401,127.1433333,36.2125
242046,19,10,401,127.227726,36.243665
245398,19,10,401,127.245528,36.271542
245508,13,10,401,127.32755313,36.29103992
245930,19,10,401,127.159264,36.134302
246248,19,10,401,127.23834447,36.28519982
247703,19,10,401,127.28096724,36.25830531
247707,19,10,401,127.21998546,36.20995563
248285,13,10,401,127.32131,36.29871
253421,13,10,401,127.32038514,36.29328858
253709,19,10,401,127.24419705,36.13238117
253894,19,10,401,127.21665359,36.21691048
253987,19,10,401,127.2165309,36.21704257
254288,19,10,401,127.2661111,36.2716667
255101,19,10,401,127.24255,36.29331
255151,19,10,401,127.224855,36.217504
256098,19,10,401,127.239055,36.282584
259380,19,10,401,127.24157095,36.2878418
259382,19,10,401,127.242055,36.288084
260303,19,10,401,127.218168,36.212759
261850,13,10,401,127.318461,36.298082
264789,13,10,401,127.32381208,36.29798901
267893,19,10,401,127.23791,36.282704
268563,13,10,401,127.32358785,36.29875601
269459,19,10,401,127.1596241,36.21289015
269578,19,10,401,127.2191667,36.2097222
270758,13,10,401,127.32131617,36.29503205
271400,13,10,401,127.32139571,36.29530096
271627,19,10,401,127.242082,36.290056
273531,19,10,401,127.237445,36.137323
277247,19,10,401,127.1755556,36.1594444
278049,19,10,401,127.195198,36.208176
280109,13,10,401,127.322983,36.299927
280183,13,10,401,127.323857,36.296642
280593,13,10,401,127.320255,36.293549
280868,19,10,401,127.26087522,36.27427919
282477,19,10,401,127.244915,36.294389
288412,13,10,401,127.28199621,36.26702197
288665,13,10,401,127.2822011,36.26699508
288840,19,10,401,127.210908,36.211088
289516,19,10,401,127.250542,36.272487
291706,13,10,401,127.320575,36.293639
293120,19,10,401,127.253544,36.275461
294371,19,10,401,127.218801,36.216154
295057,13,10,401,127.318325,36.298444
295772,19,10,401,127.149266,36.17424
300635,19,10,401,127.22181213,36.20777134
303530,19,10,401,127.170031,36.145416
303807,19,10,401,127.16972205,36.14513325
304160,19,10,401,127.21848493,36.21047922
305186,19,10,401,127.241832,36.290417
308651,19,10,401,127.24596131,36.26977571
308764,19,10,401,127.23952073,36.28616415
309625,19,10,401,127.27418661,36.23310328
312199,19,10,401,127.21866699,36.20811999
312349,19,10,401,127.246235,36.146398
316966,19,10,401,127.151814,36.141897
318476,19,10,401,127.271235,36.21625
319751,13,10,401,127.2733,36.2706
319877,19,10,401,127.27389515,36.27032408
319880,13,10,401,127.27389515,36.27032408
321291,19,10,401,127.27987289,36.26706004
322995,13,10,401,127.31850232,36.29848688
323872,13,10,401,127.32171,36.29775
324081,19,10,401,127.21140307,36.21550351
324320,19,10,401,127.1744444,36.1908333
325641,13,10,401,127.317712,36.299664
325835,13,10,401,127.328674,36.281762
326974,19,10,401,127.1755556,36.1588889
326987,19,10,401,127.175717,36.159579
327719,13,10,401,127.31836,36.29495
328192,13,10,401,127.30796963,36.28257896
329776,19,10,401,127.238918,36.282538
330947,19,10,401,127.141563,36.291999
332092,19,10,401,127.17653275,36.15976095
332273,19,10,401,127.238499,36.287056
334093,13,10,401,127.31457,36.281458
334373,19,10,401,127.31457,36.281458
336011,13,10,401,127.29223224,36.2748978
336486,19,10,401,127.172394,36.247144
341799,19,10,401,127.24425908,36.28240997
342043,13,10,401,127.2685717,36.27358618
342053,19,10,401,127.253615,36.262442
342092,19,10,401,127.2685717,36.27358618
342207,19,10,401,127.2686111,36.2730556
342282,13,10,401,127.2686111,36.2730556
342688,19,10,401,127.165618,36.188289
343544,19,10,401,127.246056,36.270354
343695,19,10,401,127.218557,36.208898
348310,19,10,401,127.196639,36.208116
349134,13,10,401,127.292844,36.246267
349629,19,10,401,127.277319,36.242008
349687,19,10,401,127.277362,36.24203
350769,13,10,401,127.319575,36.298777
351077,13,10,401,127.32596015,36.29736257
351766,19,10,401,127.254804,36.192261
353737,19,10,401,127.156952,36.212564
354496,13,10,401,127.32126206,36.29535274
357504,19,10,401,127.225907,36.222289
358469,19,10,401,127.29084557,36.26988941
358735,13,10,401,127.2938889,36.2691667
358855,13,10,401,127.29084557,36.26988941
359219,19,10,401,127.247448,36.269735
359703,13,10,401,127.32295,36.29874
359746,13,10,401,127.318659,36.297916
361124,19,10,401,127.196295,36.208459
361338,19,10,401,127.198137,36.209586
362140,13,10,401,127.32327283,36.29954505
364375,13,10,401,127.321464,36.2945
364430,19,10,401,127.24009,36.281844
364765,19,10,401,127.242232,36.282107
365251,19,10,401,127.1816667,36.1552778
368639,19,10,401,127.150869,36.140589
369233,19,10,401,127.2433503,36.28679558
370579,13,10,401,127.3094444,36.2833333
373673,13,10,401,127.32734527,36.29814203
375691,19,10,401,127.24320173,36.1743629
377392,19,10,401,127.324019,36.289112
379226,13,10,401,127.30541944,36.28155648
381645,19,10,401,127.14141553,36.12745865
383048,19,10,401,127.27702631,36.26852686
383168,13,10,401,127.27702631,36.26852686
383303,13,10,401,127.31082042,36.28511278
383381,19,10,401,127.2466667,36.1830556
383645,19,10,401,127.19936371,36.17390156
384521,19,10,401,127.200253,36.212731
387246,19,10,401,127.20605778,36.16181186
388771,13,10,401,127.3219444,36.2994444
388784,13,10,401,127.32358854,36.29879721
389687,19,10,401,127.158924,36.134073
391353,19,10,401,127.218474,36.21162
392764,19,10,401,127.24360943,36.17521048
394392,19,10,401,127.244999,36.288389
394960,19,10,401,127.244693,36.295583
395431,13,10,401,127.3206083,36.29312053
399526,13,10,401,127.32050909,36.29643652
400755,19,10,401,127.228591,36.262141
401066,19,10,401,127.24107144,36.28645197
405911,19,10,401,127.20361233,36.17488861
406155,19,10,401,127.24260746,36.29119203
406244,13,10,401,127.257106,36.278293
406358,19,10,401,127.257106,36.278293
406599,13,10,401,127.30650994,36.28817196
407512,13,10,401,127.323797,36.29375
407676,13,10,401,127.32580469,36.29776035
407989,19,10,401,127.190643,36.208426
411604,19,10,401,127.196323,36.207951
412037,19,10,401,127.242086,36.28627535
413228,19,10,401,127.24238799,36.28934199
414521,19,10,401,127.19434027,36.20808084
414542,19,10,401,127.21832676,36.21146263
414797,13,10,401,127.3106613,36.28525497
415769,19,10,401,127.25336573,36.27571603
417699,13,10,401,127.32112819,36.29444071
422917,19,10,401,127.196145,36.208298
423864,13,10,401,127.29341269,36.27761722
423914,13,10,401,127.2938889,36.2766667
424120,19,10,401,127.2938889,36.2766667
427620,19,10,401,127.148553,36.175281
428558,13,10,401,127.3194987,36.29175285
429017,19,10,401,127.257137,36.273974
429823,19,10,401,127.234679,36.136746
431324,13,10,401,127.3295783,36.29373992
432690,19,10,401,127.160614,36.295363
433096,13,10,401,127.30970627,36.28363373
435848,13,10,401,127.322214,36.296194
436531,19,10,401,127.180438,36.161628
437052,19,10,401,127.18267348,36.16277848
437110,19,10,401,127.2080556,36.1583333
437903,19,10,401,127.277718,36.263309
440106,19,10,401,127.24350296,36.28953102
441907,19,10,401,127.2383374,36.28510805
442546,19,10,401,127.258664,36.273474
444579,19,10,401,127.2052002,36.16027594
445247,19,10,401,127.257476,36.274719
450786,13,10,401,127.309826,36.283697
453445,13,10,401,127.316819,36.298266
453680,19,10,401,127.23790069,36.28065376
456974,13,10,401,127.250369,36.28148
457385,19,10,401,127.250369,36.28148
457433,19,10,401,127.255411,36.190435
460959,19,10,401,127.237531,36.285734
464099,19,10,401,127.17246672,36.24714873
465167,19,10,401,127.2602778,36.275
465753,19,10,401,127.162062,36.240308
466186,19,10,401,127.2747222,36.2352778
468488,19,10,401,127.178968,36.182577
468801,13,10,401,127.32041736,36.29755113
470075,19,10,401,127.164046,36.134991
471363,13,10,401,127.318043,36.298543
475518,19,10,401,127.233323,36.268491
478192,13,10,401,127.32034604,36.29296523
480365,19,10,401,127.18499029,36.21014949
481752,13,10,401,127.32931137,36.29933238
482059,19,10,401,127.240083,36.288611
482060,19,10,401,127.240075,36.288608
490149,19,10,401,127.239004,36.289411
491115,13,10,401,127.32386942,36.29780016
491244,13,10,401,127.3223,36.29823
493339,13,10,401,127.32348119,36.29883919
495896,19,10,401,127.3155386,36.2952328
496128,13,10,401,127.3155386,36.2952328
500478,13,10,401,127.317196,36.297558
509870,19,10,401,127.255991,36.262082
512079,19,10,401,127.24023,36.29833
512696,13,10,401,127.32985783,36.29725262
515294,19,10,401,127.219489,36.210275
515724,19,10,401,127.196274,36.20845
516951,19,10,401,127.24336,36.288334
517113,19,10,401,127.21929386,36.15947071
517889,19,10,401,127.1544528,36.1329174
517913,19,10,401,127.24438872,36.28836883
519342,19,10,401,127.24309444,36.28968716
519964,13,10,401,127.3189044,36.2976265
520471,13,10,401,127.317853,36.299611
520531,19,10,401,127.238255,36.281662
521814,13,10,401,127.3207283,36.29277706
522156,19,10,401,127.25686,36.271098
522578,19,10,401,127.243004,36.289994
524883,19,10,401,127.26239,36.249456
526889,13,10,401,127.281418,36.266953
527943,19,10,401,127.281418,36.266953
533045,19,10,401,127.264084,36.268513
534019,19,10,401,127.285804,36.159822
535845,19,10,401,127.196643,36.208787
538254,19,10,401,127.14113571,36.12620195
541411,19,10,401,127.22260237,36.16055489
543359,13,10,401,127.32440764,36.29890054
543361,13,10,401,127.32404305,36.29891999
546542,19,10,401,127.227334,36.224508
546871,13,10,401,127.2956502,36.27440676
548044,13,10,401,127.3282623,36.29686821
550958,13,10,401,127.319983,36.29789
552071,13,10,401,127.32155,36.29728
554234,13,10,401,127.32326,36.295875
554753,19,10,401,127.2432023,36.28766808
555442,19,10,401,127.296052,36.274978
555867,13,10,401,127.296052,36.274978
558320,19,10,401,127.24617,36.27069
559884,13,10,401,127.323174,36.299399
561921,19,10,401,127.233237,36.287609
564989,19,10,401,127.143911,36.220329
571104,19,10,401,127.251609,36.273474
575574,13,10,401,127.284706,36.266701
576820,13,10,401,127.31880954,36.29522536
577772,19,10,401,127.23495,36.136776
579524,19,10,401,127.27249146,36.21497154
584618,19,10,401,127.219863,36.207759
585926,19,10,401,127.306133,36.150378
586836,19,10,401,127.191932,36.194449
588558,19,10,401,127.24176,36.28687
590296,19,10,401,127.252846,36.272855
590610,13,10,401,127.32003222,36.29207963
590719,13,10,401,127.32003131,36.29133921
590953,19,10,401,127.191131,36.193798
590959,19,10,401,127.243035,36.290127
591462,13,10,401,127.30998047,36.28387801
591552,19,10,401,127.232739,36.266356
592421,19,10,401,127.184322,36.231859
596651,19,10,401,127.32131893,36.29231904
596653,19,10,401,127.2841667,36.2602778
596692,13,10,401,127.32131893,36.29231904
597801,19,10,401,127.18446013,36.23175106
598312,19,10,401,127.176898,36.240292
598604,13,10,401,127.32123314,36.29571105
600764,19,10,401,127.27843338,36.24476718
600836,19,10,401,127.26799395,36.20850705
602547,13,10,401,127.3173945,36.28842034
602768,19,10,401,127.3173945,36.28842034
603289,19,10,401,127.241721,36.290633
606947,19,10,401,127.157702,36.211619
607009,13,10,401,127.32140944,36.2953357
607866,19,10,401,127.20378399,36.17521048
609767,19,10,401,127.24274407,36.28691504
610055,19,10,401,127.24289712,36.28690023
610071,13,10,401,127.32338959,36.29913049
614726,13,10,401,127.32915897,36.29233766
614763,19,10,401,127.32915897,36.29233766
620324,19,10,401,127.23703861,36.13672233
620545,19,10,401,127.192988,36.208229
621217,13,10,401,127.319381,36.298611
624096,19,10,401,127.23717,36.28138
624222,19,10,401,127.25245,36.273036
630270,19,10,401,127.241332,36.290695
633020,19,10,401,127.24161,36.289056
633117,19,10,401,127.24157095,36.28843188
635540,13,10,401,127.3265631,36.29758175
635599,19,10,401,127.164431,36.108295
637109,13,10,401,127.32741844,36.29821579
637356,13,10,401,127.32030133,36.29608163
637604,19,10,401,127.25298786,36.27578356
638728,19,10,401,127.24177558,36.28845609
642319,13,10,401,127.319381,36.298305
642856,13,10,401,127.32911311,36.29696461
645391,19,10,401,127.2433333,36.175
645967,19,10,401,127.23705088,36.13744713
647062,13,10,401,127.32007877,36.29989423
647352,19,10,401,127.181802,36.127289
647884,19,10,401,127.152951,36.211141
650806,19,10,401,127.1913889,36.2080556
653840,19,10,401,127.27004,36.26786
654632,13,10,401,127.32322867,36.29856222
655330,19,10,401,127.240026,36.283464
655855,19,10,401,127.160812,36.213481
658352,13,10,401,127.32437486,36.29919539
662174,13,10,401,127.322762,36.29476
662437,13,10,401,127.32299813,36.29363527
662514,13,10,401,127.326547,36.297583
663125,19,10,401,127.21957896,36.15050786
663326,19,10,401,127.219342,36.149743
663508,19,10,401,127.259295,36.193814
663563,19,10,401,127.266762,36.198041
664578,13,10,401,127.324992,36.297063
664726,19,10,401,127.1538889,36.2111111
665113,13,10,401,127.32501684,36.29679097
665679,19,10,401,127.273917,36.21775
665994,13,10,401,127.319079,36.299353
666925,13,10,401,127.32401285,36.29884952
666940,19,10,401,127.180839,36.168458
667007,19,10,401,127.180009,36.168891
668683,19,10,401,127.26957321,36.21083021
671017,19,10,401,127.181168,36.162196
671512,19,10,401,127.240305,36.281696
673278,19,10,401,127.142313,36.292749
676077,13,10,401,127.32073,36.29819
680026,19,10,401,127.27598,36.25292
681282,19,10,401,127.270587,36.210365
681340,20,10,401,127.181168,36.162196
682588,19,10,401,127.24209259,36.28589611
683337,19,10,401,127.2419366,36.28728868
683849,19,10,401,127.238194,36.288361
685232,19,10,401,127.16938688,36.21401131
687578,19,10,401,127.222673,36.284939
687930,19,10,401,127.24833,36.28355
690749,19,10,401,127.234504,36.287321
692004,19,10,401,127.24208593,36.17233515
696658,19,10,401,127.2761111,36.2527778
697744,19,10,401,127.253394,36.275643
699001,19,10,401,127.252087,36.277135
699499,13,10,401,127.31972752,36.29830859
699677,13,10,401,127.26994315,36.27031325
703407,19,10,401,127.24792251,36.27021567
706445,19,10,401,127.246914,36.280632
707366,13,10,401,127.31917521,36.29741182
711614,19,10,401,127.238975,36.280375
711919,19,10,401,127.278108,36.221258
712551,19,10,401,127.236222,36.286584
712749,13,10,401,127.31971018,36.2929659
712834,19,10,401,127.31971018,36.2929659
716198,19,10,401,127.233428,36.28631
717272,19,10,401,127.21627,36.15892
717843,13,10,401,127.273831,36.292684
718912,13,10,401,127.30901127,36.28312795
720174,19,10,401,127.32288453,36.28921946
720465,13,10,401,127.32288453,36.28921946
721521,19,10,401,127.252599,36.276822
721734,19,10,401,127.242888,36.289445
722089,19,10,401,127.23837046,36.28180918
722402,19,10,401,127.216444,36.158913
722910,19,10,401,127.275098,36.267328
723300,13,10,401,127.313218,36.286093
726265,13,10,401,127.322252,36.296085
726337,13,10,401,127.31980424,36.28834072
728043,19,10,401,127.26977308,36.20955173
728119,19,10,401,127.242322,36.285385
730798,19,10,401,127.25714076,36.27859937
730811,13,10,401,127.25714076,36.27859937
731763,13,10,401,127.32189,36.29961
734385,13,10,401,127.31643765,36.29980411
734746,19,10,401,127.235362,36.287345
735503,19,10,401,127.193343,36.216311
738611,19,10,401,127.241999,36.290361
742275,19,10,401,127.25914794,36.27230952
743862,19,10,401,127.242971,36.290028
744308,19,10,401,127.23853,36.28481
745612,13,10,401,127.322518,36.285349
746366,19,10,401,127.2755556,36.2252778
746494,19,10,401,127.242701,36.293407
749336,19,10,401,127.23707,36.28082
756391,19,10,401,127.206982,36.187462
756418,19,10,401,127.251721,36.27278
759730,13,10,401,127.32748096,36.29835902
760907,19,10,401,127.238759,36.288332
764489,13,10,401,127.32831025,36.29685732
765937,13,10,401,127.318601,36.298661
766389,19,10,401,127.2338889,36.2708333
767256,13,10,401,127.32657246,36.29622179
768255,19,10,401,127.24636,36.272752
768946,19,10,401,127.25586813,36.27980851
768960,13,10,401,127.25586813,36.27980851
771285,13,10,401,127.32122,36.29682
771547,19,10,401,127.236033,36.271552
773319,19,10,401,127.276204,36.238865
773320,19,10,401,127.27058,36.210371
773519,13,10,401,127.27058,36.210371
776673,19,10,401,127.205822,36.185285
779601,13,10,401,127.28486866,36.2665241
779882,19,10,401,127.1544444,36.185
780157,19,10,401,127.294106,36.175458
781541,13,10,401,127.303709,36.255197
782164,19,10,401,127.237866,36.288606
782228,19,10,401,127.237687,36.288711
788652,13,10,401,127.32921145,36.29764624
791321,13,10,401,127.31812,36.29541
793105,19,10,401,127.245498,36.287842
793141,13,10,401,127.245498,36.287842
793839,19,10,401,127.23942518,36.28835678
795922,13,10,401,127.324436,36.297916
797605,19,10,401,127.24350668,36.29068413
798594,19,10,401,127.239039,36.287638
802739,19,10,401,127.252723,36.274006
804154,19,10,401,127.17941,36.170009
805336,13,10,401,127.30662133,36.28186188
805555,13,10,401,127.32744499,36.29171846
805625,19,10,401,127.32744499,36.29171846
806677,19,10,401,127.313383,36.160888
811340,13,10,401,127.324462,36.291543
811561,13,10,401,127.32061269,36.29377128
811795,19,10,401,127.324462,36.291543
